    ,title                                                            ,,Production company                                                                                                                                                                               ,Release date                                                                                                                                                  ,Running time                                                                                                                                                                          ,Country                                                      ,Language                                                     ,Running time (int) ,Budget (float) ,Box office (float)   ,Release date (datetime) ,imdb ,metascore ,rotten_tomatoes ,Directed by                                                                                                                                                                                                 ,Produced by                                                                                                                                                                                                                                                                                                                                                        ,Written by                                                                                                                                                                                                                                                                                   ,Based on                                                                                                                                                                                                    ,Starring                                                                                                                                                                                                                                                                                                                             ,Music by                                                                                                                                                                                                                                    ,Distributed by                                                                                                                              ,Budget                                                    ,Box office                                                                                                                          
1,The Tigger Movie                                                 ,,"['Walt Disney Television Animation', 'Walt Disney Animation Japan', 'Walt Disney Pictures']                                                                                                    ","['February 11, 2000 (United States)']                                                                                                                       ",77 minutes                                                                                                                                                                            ,United States                                                ,English                                                      ,77,15000000,96200000,2/11/2000,6.3,53,62%,Jun Falkenstein                                                                                                                                                                                             ,Cheryl Abood                                                                                                                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                                                             ,"['Characters created', 'by', 'A. A. Milne']                                                                                                                                                               ","['Jim Cummings', 'Nikita Hopkins', 'Ken Sansom', 'John Fiedler', 'Peter Cullen', 'Andre Stojka', 'Kath Soucie', 'Tom Attenborough', 'John Hurt']                                                                                                                                                                                   ",Harry Gregson-Williams                                                                                                                                                                                                                      ,Buena Vista Pictures                                                                                                                        ,$15 million –$30 million                                  ,$96.2 million                                                                                                                       
2,Dinosaur                                                         ,,"['Walt Disney Pictures', 'Walt Disney Feature Animation', 'The Secret Lab']                                                                                                                    ","['May 19, 2000 (United States)']                                                                                                                            ",82 minutes                                                                                                                                                                            ,United States                                                ,English                                                      ,82,127500000,349800000,5/19/2000,6.5,56,64%,"['Ralph Zondag', 'Eric Leighton']                                                                                                                                                                         ",Pam Marsden                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,"['D. B. Sweeney', 'Alfre Woodard', 'Ossie Davis', 'Max Casella', 'Hayden Panettiere', 'Samuel E. Wright', 'Julianna Margulies', 'Peter Siragusa', 'Joan Plowright', 'Della Reese']                                                                                                                                                 ",James Newton Howard                                                                                                                                                                                                                         ,Buena Vista Pictures                                                                                                                        ,$127.5 million                                            ,$349.8 million                                                                                                                      
3,The Kid                                                          ,,Walt Disney Pictures                                                                                                                                                                             ,"['July 7, 2000']                                                                                                                                            ",104 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,104,65000000,110300000,7/7/2000,8.3,N/A       ,100%,Jon Turteltaub                                                                                                                                                                                              ,"['Hunt Lowry', 'Arnold Rifkin', 'Christina Steinberg', 'Jon Turteltaub', 'David Willis']                                                                                                                                                                                                                                                                         ",Audrey Wells                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                                            ,"['Bruce Willis', 'Spencer Breslin', 'Emily Mortimer', 'Lily Tomlin', 'Chi McBride']                                                                                                                                                                                                                                                ","['Marc Shaiman', 'Jason White']                                                                                                                                                                                                           ",Buena Vista Pictures                                                                                                                        ,$65 million                                               ,$110.3 million                                                                                                                      
4,Remember The Titans                                              ,,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Technical Black Films']                                                                                                                   ","['September 29, 2000']                                                                                                                                      ",113 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,113,30000000,136700000,9/29/2000,7.8,48,73%,Boaz Yakin                                                                                                                                                                                                  ,"['Jerry Bruckheimer', 'Chad Oman']                                                                                                                                                                                                                                                                                                                               ",Gregory Allen Howard                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                            ,"['Denzel Washington', 'Will Patton', 'Donald Faison', 'Nicole Ari Parker']                                                                                                                                                                                                                                                         ",Trevor Rabin                                                                                                                                                                                                                                ,Buena Vista Pictures                                                                                                                        ,$30 million                                               ,$136.7 million                                                                                                                      
5,102 Dalmatians                                                   ,,"['Walt Disney Pictures', 'Cruella Productions', 'Kanzaman S.A.M. Films']                                                                                                                       ","['November 22, 2000']                                                                                                                                       ",100 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,100,85000000,183600000,11/22/2000,4.9,35,31%,Kevin Lima                                                                                                                                                                                                  ,Edward S. Feldman                                                                                                                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,Glenn Close                                                                                                                                                                                                                                                                                                                          ,David Newman                                                                                                                                                                                                                                ,Buena Vista Pictures                                                                                                                        ,$85 million                                               ,$183.6 million                                                                                                                      
6,The Emperor's New Groove                                         ,,"['Walt Disney Pictures', 'Walt Disney Feature Animation']                                                                                                                                      ","['December 15, 2000']                                                                                                                                       ",78 minutes                                                                                                                                                                            ,United States                                                ,English                                                      ,78,100000000,169300000,12/15/2000,7.3,70,85%,Mark Dindal                                                                                                                                                                                                 ,Randy Fullmer                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                                                                             ,"['Kingdom of the Sun', 'by', 'Roger Allers', 'Matthew Jacobs']                                                                                                                                            ","['David Spade', 'John Goodman', 'Eartha Kitt', 'Patrick Warburton', 'Wendie Malick']                                                                                                                                                                                                                                               ",John Debney                                                                                                                                                                                                                                 ,Buena Vista Pictures                                                                                                                        ,$100 million                                              ,$169.3 million                                                                                                                      
7,Recess: School's Out                                             ,,"['Walt Disney Pictures', 'Walt Disney Television Animation', 'Walt Disney Television Animation Digital Production', 'Paul & Joe Productions', 'Sunwoo Animation Sunwoo Digital International'] ","['February 10, 2001 (premiere)', 'February 16, 2001 (United States)']                                                                                       ",83 minutes                                                                                                                                                                            ,United States                                                ,English                                                      ,83,23000000,44500000,2/10/2001,6.6,43,60%,Chuck Sheetz                                                                                                                                                                                                ,"['Joe Ansolabehere', 'Paul Germain', 'Stephen Swofford']                                                                                                                                                                                                                                                                                                         ",                                                                                                                                                                                                                                                                                             ,"['Recess', 'by Paul Germain', 'Joe Ansolabehere']                                                                                                                                                         ","['Andrew Lawrence', ""Rickey D'Shon Collins"", 'Jason Davis', 'Ashley Johnson', 'Courtland Mead', 'Pamela Segall', 'Dabney Coleman', 'Melissa Joan Hart', 'April Winchell', 'James Woods']                                                                                                                                         ",Denis M. Hannigan                                                                                                                                                                                                                           ,Buena Vista Pictures                                                                                                                        ,$23 million                                               ,$44.5 million                                                                                                                       
8,Atlantis: The Lost Empire                                        ,,"['Walt Disney Pictures', 'Walt Disney Feature Animation']                                                                                                                                      ","['June 3, 2001 (Premiere)', 'June 15, 2001 (United States)']                                                                                                ",96 minutes                                                                                                                                                                            ,United States                                                ,English                                                      ,96,90000000,186100000,6/3/2001,6.9,52,49%,"['Gary Trousdale', 'Kirk Wise']                                                                                                                                                                           ",Don Hahn                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                            ,"['Michael J. Fox', 'James Garner', 'Cree Summer', 'Don Novello', 'Phil Morris', 'Claudia Christian', 'Jacqueline Obradors', 'Florence Stanley', 'David Ogden Stiers', 'John Mahoney', 'Jim Varney', 'Corey Burton', 'Leonard Nimoy']                                                                                               ",James Newton Howard                                                                                                                                                                                                                         ,Buena Vista Pictures                                                                                                                        ,$90–120 million                                           ,$186.1 million                                                                                                                      
9,The Princess Diaries                                             ,,"['Walt Disney Pictures', 'BrownHouse Productions']                                                                                                                                             ","['August 3, 2001']                                                                                                                                          ",115 minutes                                                                                                                                                                           ,United States                                                ,English                                                      ,115,26000000,165300000,8/3/2001,6.3,52,48%,Garry Marshall                                                                                                                                                                                              ,"['Whitney Houston', 'Debra Martin Chase', 'Mario Iscovich']                                                                                                                                                                                                                                                                                                      ",                                                                                                                                                                                                                                                                                             ,"['The Princess Diaries', 'by', 'Meg Cabot']                                                                                                                                                               ","['Anne Hathaway', 'Héctor Elizondo', 'Heather Matarazzo', 'Mandy Moore', 'Caroline Goodall', 'Robert Schwartzman', 'Julie Andrews']                                                                                                                                                                                                ",John Debney                                                                                                                                                                                                                                 ,Buena Vista Pictures                                                                                                                        ,$26 million                                               ,$165.3 million                                                                                                                      
10,Max Keeble's Big Move                                            ,,"['Walt Disney Pictures', 'Karz Entertainment']                                                                                                                                                 ","['October 5, 2001']                                                                                                                                         ",86 minutes                                                                                                                                                                            ,United States                                                ,English                                                      ,86,25000000,18600000,10/5/2001,5.4,40,29%,Tim Hill                                                                                                                                                                                                    ,Mike Karz                                                                                                                                                                                                                                                                                                                                                          ,"['David L. Watts', 'James Greer', 'Jonathan Bernstein', 'Mark Blackwell']                                                                                                                                                                                                                  ",                                                                                                                                                                                                            ,"['Alex D. Linz', 'Larry Miller', 'Jamie Kennedy', 'Nora Dunn', 'Robert Carradine']                                                                                                                                                                                                                                                 ",Michael Wandmacher                                                                                                                                                                                                                          ,Buena Vista Pictures                                                                                                                        ,$25 million                                               ,$18.6 million                                                                                                                       
