location_id,location_name,FIPS,cause_id,cause_name,sex_id,sex,year_id,mx,lower,upper
556,North Carolina,37,294,All causes,3,Both,1980,1153.676477,1147.998204,1159.778617
556,North Carolina,37,294,All causes,3,Both,1981,1139.533315,1134.0756,1145.27041
556,North Carolina,37,294,All causes,3,Both,1982,1111.050615,1105.68079,1116.10878
556,North Carolina,37,294,All causes,3,Both,1983,1110.280454,1104.856725,1115.492408
556,North Carolina,37,294,All causes,3,Both,1984,1102.579298,1097.048105,1107.837955
556,North Carolina,37,294,All causes,3,Both,1985,1104.689024,1099.340933,1109.696535
556,North Carolina,37,294,All causes,3,Both,1986,1100.87958,1095.635724,1106.005047
556,North Carolina,37,294,All causes,3,Both,1987,1093.828006,1088.482585,1098.925587
556,North Carolina,37,294,All causes,3,Both,1988,1092.550315,1087.422054,1097.226137
556,North Carolina,37,294,All causes,3,Both,1989,1072.212379,1067.387199,1076.752654
556,North Carolina,37,294,All causes,3,Both,1990,1051.232163,1046.533788,1055.822525
556,North Carolina,37,294,All causes,3,Both,1991,1045.738658,1041.404133,1050.556712
556,North Carolina,37,294,All causes,3,Both,1992,1032.216206,1027.8467,1036.997812
556,North Carolina,37,294,All causes,3,Both,1993,1041.686338,1037.377946,1046.487993
556,North Carolina,37,294,All causes,3,Both,1994,1038.574972,1034.320212,1042.740237
556,North Carolina,37,294,All causes,3,Both,1995,1040.589376,1035.881092,1045.19928
556,North Carolina,37,294,All causes,3,Both,1996,1023.315057,1018.93549,1027.817686
556,North Carolina,37,294,All causes,3,Both,1997,1001.303932,997.1002593,1005.621726
556,North Carolina,37,294,All causes,3,Both,1998,995.4330781,991.2814919,999.6143558
556,North Carolina,37,294,All causes,3,Both,1999,999.9189799,995.5029366,1004.194943
556,North Carolina,37,294,All causes,3,Both,2000,1004.678348,1000.24018,1009.241563
556,North Carolina,37,294,All causes,3,Both,2001,995.1836286,990.8218861,999.9477625
556,North Carolina,37,294,All causes,3,Both,2002,987.9408956,983.7265254,992.0904317
556,North Carolina,37,294,All causes,3,Both,2003,977.3304057,973.38217,981.3396653
556,North Carolina,37,294,All causes,3,Both,2004,947.5107743,943.1656419,951.5608506
556,North Carolina,37,294,All causes,3,Both,2005,942.2418433,938.1018307,946.4445205
556,North Carolina,37,294,All causes,3,Both,2006,921.4392493,917.7266338,925.6097504
556,North Carolina,37,294,All causes,3,Both,2007,903.1278034,899.1902242,907.2148295
556,North Carolina,37,294,All causes,3,Both,2008,889.2303671,885.1096775,893.1827618
556,North Carolina,37,294,All causes,3,Both,2009,877.0104697,873.198417,880.841952
556,North Carolina,37,294,All causes,3,Both,2010,861.8401287,858.0275919,865.4147426
556,North Carolina,37,294,All causes,3,Both,2011,858.7633342,854.9152008,862.5820109
556,North Carolina,37,294,All causes,3,Both,2012,853.0490662,849.3252319,856.5753993
556,North Carolina,37,294,All causes,3,Both,2013,847.2599687,843.5617217,850.9293096
556,North Carolina,37,294,All causes,3,Both,2014,851.8800284,847.3945852,856.2361308
